x,y,z
1.111339202,-0.5355496908,-0.3621709856
-0.9835747688,-0.4673585863,-0.03159600635
0.4070960093,0.9813879143,-0.07581239126
0.4540632984,-1.117682164,-0.3074316555
-0.8248731024,1.054258112,-0.2118106995
1.238856565,0.2377072644,0.24076454
-0.6100733507,-0.8812018146,-0.04762536445
-0.1482530052,1.028879468,-0.08062294312
0.9008961445,-0.7845544911,-0.3008171921
-1.184575075,-0.238772675,-0.007598250324
0.7088988597,0.9400408362,-0.1331458251
-0.2733342263,-1.226906144,0.009621322526
-0.6304526537,1.050962087,-0.1586968227
1.259727557,-0.1090303943,0.2223580545
-0.8484122867,-0.629378814,-0.06946791008
0.1967849366,0.9956173148,-0.09212416253
0.6277839399,-0.9979262722,-0.2980303983
-1.329475865,-0.06272204707,0.03916863496
0.9338400943,0.8995397673,-0.2132404431
-0.4756422278,-1.03129014,-0.05637010038
-0.3499252025,1.034802658,-0.1260562447
1.02601311,-0.6168065586,-0.3510854628
-1.071546133,-0.383015909,-0.06217199371
0.5268983973,0.9561141552,-0.1327575483
0.3248766301,-1.148856618,-0.3549335796
-0.7603829514,1.044547945,-0.2274377542
1.272651781,0.1059088971,0.2109599611
-0.70829296,-0.7924487212,-0.09593010322
-0.0178616355,1.007270246,-0.1198443409
0.7886022856,-0.8546606583,-0.3120066394
-1.25267039,-0.1725284283,-0.02876030794
0.8017897633,0.9146907428,-0.1994976762
-0.3540920201,-1.163442459,-0.0549768665
-0.5299629045,1.036200807,-0.1816224452
1.119376703,-0.4437475884,-0.4221095018
-0.9431601146,-0.540054207,-0.1063627028
0.3249607046,0.9712458042,-0.1427530932
0.5009578213,-1.045778192,-0.332593276
-1.370230855,-0.02382125561,0.02455062421
1.259267995,0.3144318629,0.2227633503
-0.570371118,-0.9487937509,-0.1110745379
-0.2263185182,1.015447392,-0.1588788179
0.9282727628,-0.6944889313,-0.3491630918
-1.151956612,-0.3053245311,-0.08855635571
0.6366088441,0.9306405798,-0.1938907421
0.1977571919,-1.166193472,-0.4110110421
-0.6796944534,1.0326912,-0.2458619072
1.295205046,-0.02662296731,0.1910698502
-0.8060678169,-0.70233192,-0.1393970289
0.1130946722,0.9843575158,-0.1639035872
0.6689537359,-0.9162394675,-0.3331107728
-1.309723397,-0.1171673666,-0.04685973488
0.8791697959,0.889909522,-0.2689066856
-0.4416534392,-1.091019562,-0.1155662101
-0.4184286436,1.019430228,-0.2085605981
1.039665059,-0.5248366928,-0.408128724
-1.032706948,-0.4546549179,-0.1386736751
0.4466232616,0.9462584499,-0.1979634064
0.3727852756,-1.081254551,-0.376540169
-0.7920337716,1.024142097,-0.316883572
1.297001538,0.1849755716,0.1894854933
-0.6673224365,-0.8620720957,-0.1610718426
-0.09824711521,0.9944798895,-0.1964098981
0.8202541491,-0.7662602036,-0.3568930834
-1.223084728,-0.2363373697,-0.1112036325
0.7335736749,0.9053181626,-0.2587563894
-0.3286350555,-1.212495162,-0.1106062722
-0.5849299893,1.018717673,-0.2676868316
1.117130499,-0.3535617751,-0.4864349542
-0.9011985528,-0.6132682074,-0.178067879
0.2413613755,0.9604380288,-0.2127577506
0.544606633,-0.9673837158,-0.3640391611
-1.354615868,-0.07416070495,-0.06255201171
0.9392243522,0.8660265253,-0.3407165859
-0.5340105095,-1.011682401,-0.1717622193
-0.2987147184,1.00080237,-0.2398948023
0.9471602019,-0.6028538359,-0.4031627249
-1.115087808,-0.3754481442,-0.1667205637
0.5587936346,0.9209998632,-0.2574342136
