model,true_torus_distance,learned_distance
r2_gw,0.7982839345932007,0.4350675642490387
r2_gw,0.7536454796791077,0.4957443177700043
r2_gw,0.5178701281547546,0.5398194789886475
r2_gw,0.5625338554382324,0.29577526450157166
r2_gw,0.5926864147186279,0.3025952875614166
r2_gw,0.36081716418266296,0.5311750769615173
r2_gw,0.6725191473960876,0.5621355175971985
r2_gw,0.9255259037017822,0.7066730856895447
r2_gw,0.681771993637085,0.6210324764251709
r2_gw,0.7302289605140686,0.4685608446598053
r2_gw,0.8406795263290405,0.7106562256813049
r2_gw,0.7345775961875916,0.612899124622345
r2_gw,0.390102356672287,0.21514329314231873
r2_gw,0.3231827914714813,0.38524529337882996
r2_gw,0.47582533955574036,0.317914217710495
r2_gw,0.2398652583360672,0.3872019946575165
r2_gw,0.3505168855190277,0.06685798615217209
r2_gw,0.5969924330711365,0.14370310306549072
r2_gw,0.29633116722106934,0.5236064195632935
r2_gw,0.26108333468437195,0.4193970263004303
r2_gw,0.4749119281768799,0.06721331179141998
r2_gw,0.5508828163146973,0.6234963536262512
r2_gw,0.39060622453689575,0.17891430854797363
r2_gw,0.6817679405212402,0.5691441297531128
r2_gw,0.5806399583816528,0.29103517532348633
r2_gw,0.6690271496772766,0.7206616997718811
r2_gw,0.43665197491645813,0.5766523480415344
r2_gw,0.6160547137260437,0.613795280456543
r2_gw,0.7580825686454773,0.6061428785324097
r2_gw,0.5191723108291626,0.5840373635292053
r2_gw,0.71576327085495,0.5703712701797485
r2_gw,0.22624114155769348,0.2858356237411499
r2_gw,0.6763280034065247,0.7766255736351013
r2_gw,0.7209561467170715,0.6486071348190308
r2_gw,0.2329988330602646,0.19123463332653046
r2_gw,0.33501219749450684,0.2596258223056793
r2_gw,0.5143541097640991,0.46829476952552795
r2_gw,0.5030090808868408,0.3926717936992645
r2_gw,0.5454819798469543,0.19513702392578125
r2_gw,0.3618903160095215,0.27445757389068604
r2_gw,0.272144615650177,0.08795160055160522
r2_gw,0.7662677764892578,0.5800965428352356
r2_gw,0.3367999792098999,0.5216980576515198
r2_gw,0.1566757708787918,0.25983577966690063
r2_gw,0.15500399470329285,0.18052226305007935
r2_gw,0.31895095109939575,0.04876827821135521
r2_gw,0.3648190498352051,0.5080956220626831
r2_gw,0.569147527217865,0.7396016716957092
