target_x,target_y,target_z,width_4_x,width_4_y,width_4_z,width_16_x,width_16_y,width_16_z,width_64_x,width_64_y,width_64_z
0.8094137579,-0.2865542226,0.5125778438,1,-0.3634957163,0.237734928,1,-0.3369512969,0.2340062279,1,-0.3796524755,0.3643028741
0.792937124,-0.3285450385,0.5131363123,1,0.4404646017,-0.7867908808,1,0.4533707725,-0.8557108129,1,0.4040812435,-0.6101508211
0.9225323466,-0.1718342295,0.3455532766,1,-0.4315869062,0.2096025244,1,-0.4134233006,0.2069090242,1,-0.4150003018,0.3463391472
0.8376418834,0.5399458713,0.08255017424,1,0.05045735577,-0.2042566201,1,0.02780583469,-0.1853342491,1,-0.1350382699,-0.4497673893
0.8577534625,-0.2793562394,-0.4315310987,1,-0.5521433485,-0.207574931,1,-0.53153842,-0.2023974978,1,-0.5269330167,-0.1959810052
0.8421402334,-0.2330361408,0.4863064717,1,1.527649784,-0.1457724683,1,1.522016555,-0.0404864329,1,1.349075881,0.0314007788
0.8385413468,-0.3047744731,0.4516203385,1,-0.07653689074,-0.07705273782,1,-0.07371396845,-0.07356488387,1,-0.1567215651,-0.3775301211
0.8187803138,-0.2478258026,-0.5178621142,1,0.1813023343,0.01771992227,1,0.1564385263,0.03463129097,1,0.4582629166,0.08844868579
0.8352701604,-0.3101663591,0.4540050537,1,-0.6045115382,-0.185040445,1,-0.5942760348,-0.1770536143,1,-0.5836159815,-0.1383903833
0.813837966,0.5810910244,0.0009932251217,1,0.3594722124,-0.003134402252,1,0.3290428059,0.02067453579,1,0.5127159577,0.08383728414
0.8447801825,0.5350127006,-0.01038525515,1,-0.07128156529,0.3151502665,1,-0.0404004058,0.3044154163,1,-0.1057367814,0.4575255341
0.8767294141,0.4800446464,-0.03004449728,1,0.4891946197,-0.03517260966,1,0.4695427587,-0.01181221024,1,0.5528832386,0.07086717421
0.9039830413,-0.1306171228,0.4071287613,1,-0.2845958708,0.1366283217,1,-0.2518861124,0.1238981213,1,-0.3531128338,0.3291470703
0.8449579517,-0.2419417086,0.4769803659,1,-0.7806673445,0.01400782617,1,-0.8308771975,0.02536489067,1,-0.706740436,-0.01682095807
0.855130008,-0.2743324379,-0.4398799642,1,-0.4039869263,0.5405745256,1,-0.3928821907,0.5776575211,1,-0.3270582304,0.5313554322
0.8616898959,0.5074079,0.005267470912,1,0.4427094513,-0.6454014792,1,0.4436790529,-0.6991065751,1,0.4515778908,-0.4856207685
0.8790671837,-0.1934249163,0.4356921945,1,-0.4208875628,0.2032117373,1,-0.4009830508,0.1994344859,1,-0.4105486111,0.3448172239
0.8503703595,-0.3598588525,-0.3838904244,1,0.3537583712,0.3824585124,1,0.3439929773,0.3822566655,1,0.5170128212,0.1838506492
0.9030518132,-0.1704276423,-0.3942738154,1,-0.1252514619,0.4635057776,1,-0.09304205105,0.4612893568,1,-0.1424640354,0.5281976797
0.8382026663,-0.2087587784,-0.5038214591,1,0.1838908358,-0.1384504341,1,0.1513508073,-0.1175060913,1,0.4302484361,0.02757739073
0.8551191422,-0.1758225648,-0.4877065494,1,0.5198446679,0.07760384616,1,0.504152175,0.1026964872,1,0.5621771751,0.101336211
0.8615331508,-0.2664792608,0.4321451535,1,-0.2762754754,0.3257763484,1,-0.2441304641,0.3251466463,1,-0.3097273173,0.4198188694
0.8226517934,-0.4073022596,0.396672278,1,0.2989255123,-0.6515017717,1,0.3094124481,-0.6917664916,1,0.1993183671,-0.5559531102
0.8844021707,-0.2937999216,0.3626491508,1,0.03991205936,0.0156443578,1,0.03297510302,0.0223515956,1,0.328084397,0.07078026687
0.8404820915,-0.2115677304,0.4988275748,1,-0.2077829041,-0.7580050559,1,-0.1692265503,-0.7305602772,1,-0.2586593414,-0.641430034
0.8794711037,-0.262421297,-0.3970713295,1,0.3281843802,-0.3281126015,1,0.3036365168,-0.3267641473,1,0.4185751582,-0.1939309751
0.8166356982,-0.254330203,-0.5180948603,1,-0.161765287,-0.4044005817,1,-0.1587324022,-0.3828893257,1,-0.2265471284,-0.5256911316
0.8520988628,0.5211166804,0.04863058178,1,0.4169255075,0.3408570731,1,0.4013980421,0.3476753634,1,0.5394095707,0.1672142899
0.9066888605,0.4214106479,-0.01812114902,1,-0.7267153714,-0.01924111917,1,-0.7607790778,-0.009640773332,1,-0.6713216799,-0.02296990307
0.857269415,0.5147441391,-0.01129696251,1,-0.2399798918,-0.1358198101,1,-0.2192621454,-0.1390035258,1,-0.2387665624,-0.4382441936
0.8613504627,-0.3162554744,0.3975649071,1,0.186616242,-0.1770719083,1,0.1536668634,-0.1565095457,1,0.3939750559,-0.02382847331
0.8735348955,-0.2627671189,0.4097441,1,0.3344202978,-0.2799085772,1,0.3070239039,-0.2730603192,1,0.4522356295,-0.1180962956
0.8555709633,-0.2686110013,0.4425454289,1,-0.1707870698,-0.1714352168,1,-0.1606539731,-0.1676411376,1,-0.2135813224,-0.4654256475
0.8256746744,0.5628596091,-0.03808401828,1,0.2337300602,-0.1125140581,1,0.1997488456,-0.09094951079,1,0.4691801551,0.05347873238
