model,true_so3_distance,learned_distance
r3_gw,0.7293570041656494,0.5484064817428589
r3_gw,0.7463828921318054,0.6356799602508545
r3_gw,0.6584466099739075,0.5311719179153442
r3_gw,0.3236783742904663,0.30040544271469116
r3_gw,0.5897502303123474,0.5569766759872437
r3_gw,0.9667208790779114,0.7647448182106018
r3_gw,0.4371723532676697,0.4667099714279175
r3_gw,0.9498642086982727,0.6939727067947388
r3_gw,0.7766236066818237,0.6714680790901184
r3_gw,0.8085047006607056,0.7501195073127747
r3_gw,0.7692602276802063,0.5699501633644104
r3_gw,0.9773140549659729,0.48870232701301575
r3_gw,0.7677196860313416,0.4684413969516754
r3_gw,0.45387062430381775,0.32832521200180054
r3_gw,0.9874081611633301,0.5574520230293274
r3_gw,0.8165892362594604,0.5140939950942993
r3_gw,0.31078994274139404,0.0894130989909172
r3_gw,0.8226299285888672,0.4656779170036316
r3_gw,0.9523286819458008,0.47656935453414917
r3_gw,0.9279744625091553,0.43064841628074646
r3_gw,0.7021986246109009,0.6422285437583923
r3_gw,0.9695386290550232,0.6656914949417114
r3_gw,0.7648274302482605,0.4758557379245758
