method,rank,head_parameters,decoder_parameters,vae_parameters,teacher_head_parameters,head_compression,teacher_output_rmse,worst_local_length_distortion,p95_local_length_distortion,pass_5_percent,teacher_triplet_agreement,reconstruction_mse,reconstruction_psnr,minimum_teacher_metric_eigenvalue,weighted_svd_next_singular_value,geometry_covariance_multiplier,geometry_trace_weight,seed,teacher_epochs,teacher_train_examples,covariance_sample_count,metric_sample_count,reconstruction_sample_count
value,11,10112,14464,123460,50960,5.0395569620253164,0.004469769164416661,0.051228950878429935,0.016822961651507047,False,0.9995,0.048066947523467456,13.18153456731486,3.188252029393138,0.08623746867660949,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
value,12,10960,15312,124308,50960,4.649635036496351,0.0033287372609292084,0.04195955321483824,0.012174881590918793,True,0.9996666666666667,0.04801685323663694,13.18606304644338,3.188252029393138,0.05450704864495759,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
value,13,11808,16160,125156,50960,4.315718157181572,0.0027558694653879107,0.020215110447806217,0.008690629889111574,True,1.0,0.047983533993887814,13.189077693418383,3.188252029393138,0.039061965193308394,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
value,14,12656,17008,126004,50960,4.0265486725663715,0.0023842923747190944,0.016077026435731945,0.006944598617447443,True,1.0,0.047968099943627836,13.190474839593819,3.188252029393138,0.0358886954726712,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
value,15,13504,17856,126852,50960,3.773696682464455,0.0020131231442977672,0.016048019010202808,0.005298631257584799,True,1.0,0.04795622183234025,13.191550395431689,3.188252029393138,0.0321373897458459,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
value,16,14352,18704,127700,50960,3.550724637681159,0.0016281856183442958,0.013162035066196065,0.003958774511708846,True,1.0,0.04794730008172354,13.192358429796977,3.188252029393138,0.02334546708679485,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
value,17,15200,19552,128548,50960,3.3526315789473684,0.0014084156062602543,0.009015652047425049,0.0034114138261777025,True,1.0,0.04794004012084382,13.193016068427532,3.188252029393138,0.021525324762976732,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
value,18,16048,20400,129396,50960,3.1754735792622135,0.0011512393320797132,0.008744715915886436,0.0025023328981332287,True,1.0,0.047934323131377535,13.193534008134671,3.188252029393138,0.017458328046940242,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
value,19,16896,21248,130244,50960,3.016098484848485,0.0009623249275866859,0.006830161835699733,0.0021305870647860318,True,1.0,0.047933344362661064,13.193622687428483,3.188252029393138,0.014644360838354816,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
value,20,17744,22096,131092,50960,2.871956717763751,0.0008075052083069974,0.006244729161607232,0.0016463018813401603,True,1.0,0.04793192747043808,13.193751065194942,3.188252029393138,0.012118981049293586,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
value,21,18592,22944,131940,50960,2.7409638554216866,0.0006783729739830476,0.005346885388239464,0.0013011183408012932,True,1.0,0.04793125356540514,13.193812125809448,3.188252029393138,0.011720146973796985,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
value,22,19440,23792,132788,50960,2.6213991769547325,0.000529839682989768,0.0053385017435882975,0.0011368378341758904,True,1.0,0.0479305010090156,13.193880313813883,3.188252029393138,0.007329124805071756,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
value,23,20288,24640,133636,50960,2.5118296529968456,0.0004597578612313548,0.0033788265594872913,0.0009198042534195609,True,1.0,0.0479306031315522,13.193871060581404,3.188252029393138,0.006601290254476879,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
value,24,21136,25488,134484,50960,2.4110522331566995,0.00038956515723210215,0.003367347516748276,0.0005272577843383966,True,1.0,0.04793044370246642,13.193885506318122,3.188252029393138,0.005319304771224765,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
value,25,21984,26336,135332,50960,2.3180494905385736,0.0003383990765626982,0.0015928375339792078,0.0004053125576617739,True,1.0,0.047930458262971154,13.193884187000917,3.188252029393138,0.004419356188159777,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
value,26,22832,27184,136180,50960,2.2319551506657325,0.0003002028508889894,0.00148317744775317,0.00027807257504056636,True,1.0,0.047930435175626826,13.193886278929313,3.188252029393138,0.0037584461580785398,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
