pair_index,left_pool_index,right_pool_index,left_label,right_label,straight_teacher_length,geodesic_candidate_teacher_length,straight_relative_excess,passing_student,fixed_teacher_path_student_length_error,length_resolution_relative_gap,maximum_latent_edge,normalized_boundary_clearance,minimum_teacher_metric_eigenvalue,maximum_teacher_metric_condition_number
74,1814,2959,9,0,13.40425924389388,13.05167678558334,0.027014341843034195,rank 13,0.0010447872184415896,5.488445697920952e-07,0.04869218431226416,0.22860823045586826,23.11030911076015,2.4204680519385775
75,1086,334,0,6,8.1858721441298,8.131228834664036,0.006720178533509591,rank 13,0.00136502529127136,3.016484819706733e-07,0.06251149525978544,0.19207642987234683,6.70756625823795,3.7453447481606723
76,2267,2818,1,4,9.308286487358433,9.285573651847496,0.0024460347160584206,rank 13,0.0006821306692555984,3.763748617213736e-07,0.03832903626048971,0.2366308992775286,19.888615169725398,3.156769620244794
77,2982,2418,0,8,9.744501798691731,9.739374516604315,0.0005264488062015626,rank 13,0.0005180282510701684,1.7930305551416836e-07,0.044326990871096664,0.19050381783671386,15.111802893176982,3.2868689005186544
78,2004,2612,5,6,8.1106611526602,8.093346262629133,0.002139398151172367,rank 13,0.0010035834823823864,2.7911209676823034e-07,0.03608802531964552,0.18355815502439365,11.442633670147938,3.353778293472789
79,453,2609,7,6,9.936385348319872,9.82717521967486,0.011113074327438799,rank 13,0.0009879436908963868,5.210881297568193e-07,0.03694050074255469,0.18870535333617008,20.811359022562417,2.2514782985008766
80,1311,1131,7,3,15.681610925018099,15.464092511934181,0.014066031544757607,rank 13,0.0009828879970018578,7.653554825459707e-07,0.07693130908595613,0.12762659603459597,10.215469724883455,5.981668623666074
81,2915,1871,2,9,10.348573027223383,10.074776270643735,0.027176460223483856,rank 13,0.001033898684840051,1.2980028023523715e-06,0.04232363292874509,0.3150390651250834,21.30658378120253,3.4457527999823263
82,666,2066,7,3,14.059581066727024,13.872456819714426,0.013488904629111786,rank 13,0.0009764485907497455,5.816772543631998e-07,0.08524871849481884,0.15288342246620637,7.7802182174797565,6.011277748965061
83,2867,580,3,4,11.412827779112327,11.200408568740087,0.01896530908391081,rank 13,0.0014542084110649167,8.010407559488897e-08,0.05912375383574865,0.13684405559902238,8.09437467044197,3.8070486881752066
84,648,68,0,1,10.648249398608685,10.540127845018013,0.010258087490065737,rank 13,0.001494820288647114,2.1533669791740095e-07,0.062157927081054415,0.12106895809603185,10.978047066706242,2.90840405489014
85,2086,1445,5,9,8.595178530592467,8.550413170834512,0.005235461592739243,rank 13,0.0005289916600736966,6.9671641789170735e-09,0.039245271917700296,0.28022669109725185,15.999230974507897,3.035530989541933
86,925,104,3,4,12.60438790378017,12.469557244067186,0.010812786458567647,rank 13,0.0007981918551149825,2.788550937937728e-07,0.06156858675628047,0.25770123545656665,16.096572494484484,3.90436359863089
87,2649,2800,3,5,11.36898615776462,11.262714850456454,0.009435674144219197,rank 13,0.0008439898960371783,6.237304905898355e-08,0.037604401280002656,0.3035352615985922,19.80576324238808,2.6077733229245585
88,98,2295,9,7,8.253067504380436,8.160100441166371,0.011392882218098865,rank 13,0.0009152192612941201,4.1584533594374307e-08,0.04543063276544692,0.10373841380847726,10.523036207919947,2.3240249261569152
89,2480,731,5,1,9.933758632169841,9.897156689600093,0.003698228058590658,rank 13,0.00047620179553298225,1.1896625773388791e-07,0.03817923555390255,0.2146763275373118,9.098799931497819,6.003350735257258
90,2229,2287,0,2,8.345478959130599,8.336340649596323,0.0010962015491435828,rank 13,0.0009619606464389419,5.6997021880000887e-08,0.04110155926335057,0.1302127190903192,7.7901066897024425,2.298387464762886
91,792,734,5,7,6.5848182331008696,6.581160581579335,0.0005557760635370723,rank 13,0.0018496931796798677,2.6050433676871876e-07,0.048527556527075175,0.09973095228770162,6.732153936795749,3.321260298449556
92,17,2435,0,9,14.482440238530636,13.957610391861785,0.03760169770714206,rank 13,0.0010434655755701128,1.134891271181715e-06,0.05374280171334606,0.2916514303692738,21.522810036387398,3.122377334994972
93,1977,2310,4,5,10.74074269735264,10.658641816519399,0.007702752587669837,rank 13,0.0010065958268483666,2.0962932945067791e-07,0.05077951502959106,0.16271381524446232,13.70596975888145,2.8163951373870155
94,198,1644,6,3,9.30078268131275,9.136939125497994,0.017931995996068872,rank 13,0.0017376848596797334,3.63617238319236e-07,0.057231764513029346,0.18356532772352158,6.523355663896992,5.345155540405643
95,1209,111,8,6,8.190323926610088,8.07268093913462,0.014572976234593638,rank 13,0.0011400204900087196,2.40217976843482e-07,0.03485554922851329,0.2969351157074703,22.266415547554626,3.3273920213949615
96,1902,1137,3,2,12.26441756045628,12.200820585221832,0.005212516223005448,rank 13,0.001174790875515641,4.541292453197343e-08,0.06325516887778596,0.12196665243403533,7.414460927549066,2.5219886822467084
97,2549,1719,1,4,8.256199973862449,7.9647515312203545,0.036592283073699106,rank 13,0.0011186237892786277,1.2939148663626554e-07,0.04468913059372351,0.30580441036692835,13.10368422926334,4.688757830271502
98,998,1907,4,5,12.169048852381978,12.148991284466913,0.0016509657012191425,rank 13,0.0005811643333223371,2.471861297870248e-07,0.04705160617499294,0.22850973840125885,19.646913317586908,3.2332582797271887
99,961,649,9,2,14.146849477032015,13.993996144971382,0.010922779346024036,rank 13,0.0010566214560193687,2.7604752284027256e-07,0.08555291244546614,0.11466906972358074,9.637685796231873,3.437721762883541
