method,rank,head_parameters,decoder_parameters,vae_parameters,teacher_head_parameters,head_compression,teacher_output_rmse,worst_local_length_distortion,p95_local_length_distortion,pass_5_percent,teacher_triplet_agreement,reconstruction_mse,reconstruction_psnr,minimum_teacher_metric_eigenvalue,weighted_svd_next_singular_value,geometry_covariance_multiplier,geometry_trace_weight,seed,teacher_epochs,teacher_train_examples,covariance_sample_count,metric_sample_count,reconstruction_sample_count
value,23,20288,24640,133636,50960,2.5118296529968456,0.0007413364709473522,0.005315502686858542,0.0013365423904083934,True,1.0,0.033239459879761755,14.783460418417425,2.868070361143945,0.011040121826308804,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
value,24,21136,25488,134484,50960,2.4110522331566995,0.0006282295642379771,0.004477781830767524,0.0008430211699525454,True,1.0,0.03323945449320381,14.783461122205209,2.868070361143945,0.00860407443317772,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
value,25,21984,26336,135332,50960,2.3180494905385736,0.0005482838361762932,0.0036311200667498156,0.0006819362792751687,True,1.0,0.03323946842942398,14.783459301350344,2.868070361143945,0.008353568980045344,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
value,26,22832,27184,136180,50960,2.2319551506657325,0.00046590835481766886,0.0022249926801561903,0.0004691755811586538,True,1.0,0.03323919693046046,14.78349477453593,2.868070361143945,0.00676388422061628,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
value,27,23680,28032,137028,50960,2.152027027027027,0.00038984092773730215,0.0019715156799517963,0.0003361989197108728,True,1.0,0.033238938026026454,14.783528602430502,2.868070361143945,0.005992653634053892,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
value,28,24528,28880,137876,50960,2.077625570776256,0.00032622904934876394,0.0017957049059963426,0.0002836239814479777,True,1.0,0.03323905215176164,14.783513690975777,2.868070361143945,0.004125653704142878,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
value,29,25376,29728,138724,50960,2.0081967213114753,0.0002930016835605778,0.001722851821796878,0.0002245967829341775,True,1.0,0.033239030934781325,14.7835164631428,2.868070361143945,0.003974413862678385,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
value,30,26224,30576,139572,50960,1.9432580841976814,0.00025209752748886027,0.001421175724864776,0.00016665645586725342,True,1.0,0.033239018434186696,14.783518096445615,2.868070361143945,0.0035551943378506175,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
value,31,27072,31424,140420,50960,1.882387706855792,0.00021929861539789309,0.0012182528119454306,0.00014089883755299935,True,1.0,0.03323909625754148,14.783507928210941,2.868070361143945,0.002895869215205117,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
value,32,27920,32272,141268,50960,1.825214899713467,0.00019326456381348392,0.0011219720024909785,0.00011882804682301618,True,1.0,0.03323901491636976,14.783518556076686,2.868070361143945,0.0024553154242079787,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
value,33,28768,33120,142116,50960,1.771412680756396,0.00017299962930898683,0.0010661538404413973,0.00010326745191409635,True,1.0,0.03323900804362603,14.783519454056062,2.868070361143945,0.002328975992389891,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
value,34,29616,33968,142964,50960,1.7206915180983253,0.00015449490157112928,0.0007703706646899899,8.293146000986043e-05,True,1.0,0.0332390135240972,14.783518737988306,2.868070361143945,0.0020954691834871833,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
