shape,relative_edge_noise,seed,stage,alpha,edge_stress,convexity_penalty,local_convex_max_signed
sphere,0.005,2.0,10.0,0.25,2.4275186090763135e-10,0.0,-0.06828789585261189
sphere,0.005,2.0,11.0,0.275,7.387111722089412e-10,0.0,-0.06800483252133152
sphere,0.005,2.0,12.0,0.30000000000000004,1.4899386594392848e-09,0.0,-0.06772158422428033
sphere,0.005,2.0,13.0,0.325,2.3725026783876597e-09,0.0,-0.06743946230909578
sphere,0.005,2.0,14.0,0.35000000000000003,3.3317763979937176e-09,0.0,-0.0671582945728879
sphere,0.005,2.0,15.0,0.375,4.315098705779703e-09,0.0,-0.0668787211920446
sphere,0.005,2.0,16.0,0.4,4.78874971277722e-09,0.0,-0.06659810196165562
sphere,0.005,2.0,17.0,0.42500000000000004,5.090041951732254e-09,0.0,-0.06631692099229891
sphere,0.005,2.0,18.0,0.45,5.385408534100706e-09,0.0,-0.06603865670656599
sphere,0.005,2.0,19.0,0.47500000000000003,4.688603797192248e-11,0.0,-0.06575891720929444
sphere,0.005,2.0,20.0,0.5,2.5211115622952726e-10,0.0,-0.06548293181885484
sphere,0.005,2.0,21.0,0.525,7.97502975961841e-10,0.0,-0.06520804580939639
sphere,0.005,2.0,22.0,0.55,1.5427779258341038e-09,0.0,-0.06493341929050293
sphere,0.005,2.0,23.0,0.5750000000000001,2.3445939830564973e-09,0.0,-0.06465891601469008
sphere,0.005,2.0,24.0,0.6000000000000001,2.981221815084904e-11,0.0,-0.06438334678020861
sphere,0.005,2.0,25.0,0.625,2.7962584643301663e-10,0.0,-0.06411096140851172
sphere,0.005,2.0,26.0,0.65,8.924003914965445e-10,0.0,-0.06384051108762655
sphere,0.005,2.0,27.0,0.675,1.6429624142344702e-09,0.0,-0.06356995626074168
sphere,0.005,2.0,28.0,0.7000000000000001,2.6439091669090887e-09,0.0,-0.06330009971313151
sphere,0.005,2.0,29.0,0.7250000000000001,3.4759816969348867e-09,0.0,-0.06303092460004617
sphere,0.005,2.0,30.0,0.75,4.525351558571833e-09,0.0,-0.06276242511663868
sphere,0.005,2.0,31.0,0.775,5.084872387447058e-09,0.0,-0.062494873871723956
sphere,0.005,2.0,32.0,0.8,5.187023766273703e-09,0.0,-0.06222738080735381
sphere,0.005,2.0,33.0,0.8250000000000001,6.286564951006271e-09,0.0,-0.06196124177878157
sphere,0.005,2.0,34.0,0.8500000000000001,6.097691007029026e-11,0.0,-0.06169157210527203
sphere,0.005,2.0,35.0,0.875,3.253627216833656e-10,0.0,-0.06142725116767447
sphere,0.005,2.0,36.0,0.9,9.148517332404748e-10,0.0,-0.06116426063232052
sphere,0.005,2.0,37.0,0.925,1.7802243355446116e-09,0.0,-0.060901654759668716
sphere,0.005,2.0,38.0,0.9500000000000001,2.7507076881274717e-09,0.0,-0.06063982640368108
sphere,0.005,2.0,39.0,0.9750000000000001,3.5244259255162822e-09,0.0,-0.060378391366671946
sphere,0.005,2.0,40.0,1.0,4.2115311743474585e-09,0.0,-0.06011766107252339
sphere,0.01,0.0,0.0,0.0,7.3885200249899555e-34,0.0,-0.06865430818329098
sphere,0.01,0.0,1.0,0.025,2.16967787448102e-09,0.0,-0.06901258345403707
sphere,0.01,0.0,2.0,0.05,7.937823621481195e-09,0.0,-0.06936713797005217
sphere,0.01,0.0,3.0,0.07500000000000001,1.4108300645935842e-08,0.0,-0.0697186576512487
sphere,0.01,0.0,4.0,0.1,1.282270564435767e-10,0.0,-0.07002184342520845
sphere,0.01,0.0,5.0,0.125,2.478166029647665e-09,0.0,-0.07036960324156859
sphere,0.01,0.0,6.0,0.15000000000000002,8.149967356074683e-09,0.0,-0.07040783853476996
sphere,0.01,0.0,7.0,0.17500000000000002,2.129438752815309e-10,0.0,-0.07022603733857452
sphere,0.01,0.0,8.0,0.2,2.4071114223626513e-09,0.0,-0.07001036685305577
