model,true_sphere_distance,learned_distance
r2_gw,0.37660861015319824,0.37265169620513916
r2_gw,0.8201585412025452,0.6329801082611084
r2_gw,0.9386042952537537,0.6583459973335266
r2_gw,0.8892595767974854,0.6129583716392517
r2_gw,0.6439391374588013,0.31741464138031006
r2_gw,0.8261747360229492,0.5657789707183838
r2_gw,0.669938862323761,0.38514432311058044
r2_gw,0.9143650531768799,0.7035289406776428
r2_gw,0.5233206152915955,0.19500908255577087
r2_gw,0.6561317443847656,0.4434651732444763
r2_gw,0.9606167078018188,0.6110003590583801
r2_gw,0.13368387520313263,0.08502142876386642
r2_gw,0.9879087209701538,0.5830772519111633
r2_gw,0.36660122871398926,0.12168631702661514
r2_gw,0.2705860137939453,0.6131772994995117
r2_gw,0.4007883369922638,0.18008193373680115
r2_gw,0.6454084515571594,0.27680203318595886
r2_gw,0.8329281806945801,0.5732499957084656
r2_gw,0.4566054046154022,0.30089062452316284
r2_gw,0.7979576587677002,0.353270560503006
r2_gw,0.8147876858711243,0.5149410963058472
r2_gw,0.4850537180900574,0.3942192792892456
r2_gw,0.47273823618888855,0.3315379321575165
r2_gw,0.8868273496627808,0.6134886145591736
r2_gw,0.20738643407821655,0.13222630321979523
r2_gw,0.8360952138900757,0.6021478772163391
r2_gw,0.7799093723297119,0.5051970481872559
r2_gw,0.40701621770858765,0.23699851334095
r2_gw,0.7108509540557861,0.5091946721076965
r2_gw,0.7423123121261597,0.48767009377479553
r2_gw,0.5882568955421448,0.5763228535652161
r2_gw,0.8924570679664612,0.7575300335884094
r2_gw,0.6113531589508057,0.41035595536231995
r2_gw,0.7081529498100281,0.6600598692893982
r2_gw,0.4701592028141022,0.09516514092683792
r2_gw,0.6203570365905762,0.33319807052612305
r2_gw,0.3012150824069977,0.2599869668483734
r2_gw,0.5935894846916199,0.0486411526799202
r2_gw,0.5884337425231934,0.3092212677001953
r2_gw,0.8459317088127136,0.4161250591278076
r2_gw,0.7671127915382385,0.24052220582962036
r2_gw,0.845768928527832,0.5315299034118652
r2_gw,0.5248795747756958,0.3162212669849396
r2_gw,0.7686134576797485,0.3251793384552002
r2_gw,0.48659268021583557,0.20306037366390228
r2_gw,0.9268224239349365,0.6641287803649902
r2_gw,0.6019068360328674,0.4032036364078522
r2_gw,0.909310519695282,0.7054021954536438
r2_gw,0.8689285516738892,0.502805769443512
r2_gw,0.7798924446105957,0.5161349773406982
r2_gw,0.7124746441841125,0.4535635709762573
r2_gw,0.5697494745254517,0.3889254629611969
r2_gw,0.6969727873802185,0.5027350783348083
r2_gw,0.3141171634197235,0.4023131728172302
r2_gw,0.8580628633499146,0.30299505591392517
r2_gw,0.8762694597244263,0.34836021065711975
r2_gw,0.7377157211303711,0.42955100536346436
r2_gw,0.7011389136314392,0.671281099319458
r2_gw,0.39839544892311096,0.25267282128334045
r2_gw,0.8207611441612244,0.5854738354682922
r2_gw,0.3982103765010834,0.3683618903160095
r2_gw,0.9982016682624817,0.7266966700553894
r2_gw,0.7360960245132446,0.6134222149848938
r2_gw,0.857562780380249,0.5467792749404907
r2_gw,0.7912405133247375,0.5464506149291992
r2_gw,0.05926309525966644,0.04499640688300133
r2_gw,0.9164033532142639,0.6144130825996399
r2_gw,0.8491142392158508,0.3387468457221985
r2_gw,0.9763456583023071,0.6622406244277954
r2_gw,0.9130294919013977,0.8040053248405457
r2_gw,0.24843339622020721,0.09801029413938522
r2_gw,0.7640060782432556,0.4470784664154053
r2_gw,0.6644548773765564,0.5349640846252441
r2_gw,0.7879582643508911,0.18776923418045044
r2_gw,0.2157614827156067,0.1507701277732849
r2_gw,0.8514615893363953,0.5133855938911438
r2_gw,0.5513004064559937,0.21095144748687744
r2_gw,0.38470447063446045,0.20968787372112274
r2_gw,0.9576507210731506,0.65093994140625
